,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info,info
,flow,product,component,material,element,flow,product,component,material,element,data,values_count,priority,priority_count,original row
122,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ferrousMetals,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,ferrousMetals,Cu,[0.4  0.18],2,[2111],1,[540 545]
123,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glass,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,glass,Ag,[0.59 0.18],2,[2111],1,[541 538]
124,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glass,Al,WEEE_chem_thermal,,ComponentShadowWEEE,glass,Al,[0.06 0.53],2,[2111],1,[544 542]
125,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glass,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,glass,Cu,[0.4  0.18],2,[2111],1,[540 545]
126,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glassAndCeramics,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,glassAndCeramics,Ag,[0.59 0.18],2,[2111],1,[541 538]
127,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glassAndCeramics,Al,WEEE_chem_thermal,,ComponentShadowWEEE,glassAndCeramics,Al,[0.06 0.53],2,[2111],1,[544 542]
128,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,glassAndCeramics,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,glassAndCeramics,Cu,[0.4  0.18],2,[2111],1,[540 545]
129,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ironWroughtAndCast,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,ironWroughtAndCast,Ag,[0.59 0.18],2,[2111],1,[541 538]
130,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ironWroughtAndCast,Al,WEEE_chem_thermal,,ComponentShadowWEEE,ironWroughtAndCast,Al,[0.06 0.53],2,[2111],1,[544 542]
131,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ironWroughtAndCast,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,ironWroughtAndCast,Cu,[0.4  0.18],2,[2111],1,[540 545]
132,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,non-ferrousMetals,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,non-ferrousMetals,Ag,[0.59 0.18],2,[2111],1,[541 538]
133,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,non-ferrousMetals,Al,WEEE_chem_thermal,,ComponentShadowWEEE,non-ferrousMetals,Al,[0.06 0.53],2,[2111],1,[544 542]
134,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,non-ferrousMetals,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,non-ferrousMetals,Cu,[0.4  0.18],2,[2111],1,[540 545]
135,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,oil4,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,oil4,Ag,[0.59 0.18],2,[2111],1,[541 538]
136,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,oil4,Al,WEEE_chem_thermal,,ComponentShadowWEEE,oil4,Al,[0.06 0.53],2,[2111],1,[544 542]
137,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,oil4,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,oil4,Cu,[0.4  0.18],2,[2111],1,[540 545]
138,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,otherFerrousAlloys,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,otherFerrousAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
